word,reading,meaning,thai_meaning
下げる,さげる,to lower (v.t.); to hang,ลดลง (v.t.); ที่จะแขวน
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",การเปลี่ยนรถ (รถไฟ) การเปลี่ยนรถ (รถบัส รถไฟ ฯลฯ)
別れる,わかれる,"to part from, to separate",แยกจากกัน
眠る,ねむる,to sleep,นอน
上がる,あがる,"to rise, to go up",ลุกขึ้น ขึ้นไป
集まる,あつまる,"to gather (v.i.), to collect",รวบรวม (vi.) เพื่อรวบรวม
関係,かんけい,"relation(ship), connection",ความสัมพันธ์ (เรือ) การเชื่อมต่อ
嬉しい,うれしい,to be happy; to be glad,มีความสุข ดีใจ
家内,かない,(one's own) wife,(ของตัวเอง) ภรรยา
社会,しゃかい,society,สังคม
冷ます,さます,"to cool, to let cool",ปล่อยให้เย็น
覚ます,さます,to awaken,ที่จะตื่น
冷める,さめる,"to become cool, to wear off","ที่จะเย็นลง, หมดสภาพ"
覚める,さめる,"to wake, to wake up",ตื่น ตื่น
去る,さる,"to leave, to go away","ออกไป, ไปให้พ้น"
賛成,さんせい,"approval, agreement",การอนุมัติข้อตกลง
酸性,さんせい,acidity,ความเป็นกรด
沈む,しずむ,to sink; to feel depressed,จม; รู้สึกหดหู่
次第,しだい,order; circumstances; immediate(ly),คำสั่ง; สถานการณ์; โดยทันที)
従う,したがう,"to abide (by the rules), to obey",ปฏิบัติตาม (ตามกฎ) เชื่อฟัง
親しい,したしい,"intimate, close (e.g., friend)",สนิทสนม ใกล้ชิด (เช่น เพื่อน)
実際,じっさい,in fact; in actuality,ในความเป็นจริง; ในความเป็นจริง
支配,しはい,"rule, control, direction",กฎ การควบคุม ทิศทาง
芝居,しばい,"play, drama",เล่นละคร
支払,しはらい,payment,การชำระเงิน
支払う,しはらう,to pay,ที่จะจ่าย
姉妹,しまい,sisters,พี่สาว
示す,しめす,"to show, to indicate",เพื่อแสดงเพื่อระบุ
占める,しめる,to take up; to account for,จะใช้เวลา; เพื่อบัญชีสำหรับ
湿る,しめる,"to be wet, to be damp",เปียก ชื้น
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))","พูดคุย, พูดคุย, พูดคุย (เหมือนกับ 話し (ななた))"
周囲,しゅうい,"surroundings, circumference, environs","สิ่งรอบข้าง, เส้นรอบวง, บริเวณโดยรอบ"
修正,しゅうせい,"amendment, correction",การแก้ไข การแก้ไข
重体,じゅうたい,"seriously ill, critical state",ป่วยหนัก ภาวะวิกฤติ
渋滞,じゅうたい,"congestion (e.g., traffic), delay",ความแออัด (เช่น การจราจร) ความล่าช้า
重大,じゅうだい,"serious, important",จริงจังสำคัญ
種類,しゅるい,"variety, kind",ความหลากหลายชนิด
障害,しょうがい,"obstacle, impediment",อุปสรรค สิ่งกีดขวาง
生じる,しょうじる,"to occur, to arise, to be generated","เกิดขึ้น, เกิดขึ้น, ถูกสร้างขึ้น"
状態,じょうたい,"condition, situation",สภาพสถานการณ์
商売,しょうばい,"trade, business, commerce",การค้า ธุรกิจ การพาณิชย์
証明,しょうめい,"proof, verification",หลักฐาน การตรวจสอบ
書斎,しょさい,"study, den","เรียน, เดน"
署名,しょめい,signature,ลายเซ็น
書類,しょるい,"documents, official papers",เอกสารเอกสารราชการ
知合い,しりあい,acquaintance,คนรู้จัก
神経,しんけい,"nerve, sensitivity",เส้นประสาทความไว
信じる,しんじる,to believe,ที่จะเชื่อ
人生,じんせい,"(human) life (e.g., conception to death)",(มนุษย์) ชีวิต (เช่น ความคิดสู่ความตาย)
身体,しんたい,the body,ร่างกาย
信頼,しんらい,"reliance, trust, confidence","การพึ่งพา, ความไว้วางใจ, ความมั่นใจ"
人類,じんるい,"mankind, humanity",มนุษยชาติมนุษยชาติ
救う,すくう,"to rescue from, to help out of","เพื่อช่วยเหลือจาก, เพื่อช่วยเหลือจาก"
優れる,すぐれる,"to surpass, to outstrip, to excel","เหนือกว่า, ล้ำหน้า, เก่ง"
過ごす,すごす,"to pass, to spend (time)",ผ่านไปใช้เวลา (เวลา)
進める,すすめる,"to advance, to promote, to hasten",ก้าวหน้า ส่งเสริม เร่ง
勧める,すすめる,"to urge (someone) to do (something), to recommend",กระตุ้นให้ (บางคน) ทำ (บางสิ่ง) เพื่อแนะนำ
すっぱい,すっぱい,"sour, acid",เปรี้ยวกรด
済ませる,すませる,to be finished,จะต้องเสร็จสิ้น
澄む,すむ,"to clear (e.g., weather), to become transparent",ทำให้ชัดเจน (เช่น สภาพอากาศ) ให้โปร่งใส
清む,すむ,"to clear (e.g., weather), to become transparent",ทำให้ชัดเจน (เช่น สภาพอากาศ) ให้โปร่งใส
刷る,する,to print,เพื่อพิมพ์
為る,する,"to do, to attempt","ที่จะทำ, พยายาม"
鋭い,するどい,"pointed, sharp",แหลมคม
すれ違う,すれちがう,to pass by one another,ที่จะเดินผ่านกัน
正,せい,"(logical) true, regular",(ตรรกะ) จริง ปกติ
生,せい,birth,กำเนิด
性,せい,"sex, gender",เพศ เพศ
姓,せい,"surname, family name",นามสกุล นามสกุล
所為,せい,"cause, reason, fault",สาเหตุ เหตุผล ความผิด
税,ぜい,tax,ภาษี
精々,せいぜい,"at the most, at best",มากที่สุด ดีที่สุด
生命,せいめい,life,ชีวิต
設計,せっけい,"plan, design",แผนการออกแบบ
絶対,ぜったい,"definitely, without fail, absoluteness",แน่นอนไม่มีล้มเหลวความสมบูรณ์
愛,あい,love,รัก
愛する,あいする,to love,ที่จะรัก
遭う,あう,"to meet, to encounter (undesirable nuance)","พบปะ, เผชิญหน้า (แตกต่างกันนิดหน่อยที่ไม่พึงประสงค์)"
諦める,あきらめる,"to give up, to abandon","ยอมแพ้, ละทิ้ง"
飽きる,あきる,"to get tired of, to lose interest in","เบื่อหน่าย, หมดความสนใจ"
明ける,あける,"to dawn, to become daylight",รุ่งเช้ากลายเป็นแสงสว่าง
揚げる,あげる,"to lift, to fry",ยกทอด
挙げる,あげる,"to raise; to list, to cite",ที่จะยก; เพื่อแสดงรายการเพื่ออ้างอิง
預かる,あずかる,to keep (something) for (someone),เก็บ (บางสิ่ง) เพื่อ (บางคน)
預ける,あずける,"to give into custody, to deposit",ที่จะฝากขัง
与える,あたえる,to give,ที่จะให้
温かい,あたたかい,warm,อบอุ่น
暖まる,あたたまる,to warm up,เพื่ออุ่นเครื่อง
温まる,あたたまる,"to warm oneself, to get warm","ทำให้ร่างกายอบอุ่น, ทำให้ร่างกายอบอุ่น"
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",ทำให้อบอุ่น (ขึ้นอยู่กับบางคน/บางสิ่ง) ให้ความร้อน (ขึ้นอยู่กับบางคน/บางสิ่ง)
温める,あたためる,"to warm, to heat",ให้ความอบอุ่น ให้ความร้อน
当たる,あたる,"to be hit, to be successful",ที่จะโดนจะประสบความสำเร็จ
扱う,あつかう,"to treat, to handle, to deal with","ที่จะรักษา, จัดการ, จัดการกับ"
当てる,あてる,to hit; to apply to,ตี; ที่จะนำไปใช้กับ
争う,あらそう,"to dispute, to argue, to fight","โต้เถียง, โต้เถียง, ต่อสู้"
表す,あらわす,"to express, to show",เพื่อแสดงเพื่อแสดง
現す,あらわす,"to show, to appear, to reveal","เพื่อแสดง, ปรากฏ, เปิดเผย"
著す,あらわす,"to write, to publish",การเขียนเพื่อเผยแพร่
現れる,あらわれる,"to appear (v.i.), to become visible; to express","ปรากฏ (v.i.), ปรากฏให้เห็น; เพื่อแสดง"
合わせる,あわせる,to combine,เพื่อรวม
慌てる,あわてる,to become confused、to panic,สับสน ตื่นตระหนก
案外,あんがい,unexpectedly,โดยไม่คาดคิด
安定,あんてい,"stability, equilibrium",ความมั่นคง สมดุล
あんなに,あんなに,"to that extent, to that degree",ถึงขนาดนั้น ถึงขนาดนั้น
意外,いがい,"unexpected, surprising","ไม่คาดคิด, ประหลาดใจ"
勢い,いきおい,"force, vigor, momentum","พลัง, พละกำลัง, โมเมนตัม"
いけない,いけない,"must not do, bad, wrong",ต้องไม่ทำชั่วผิด
偉大,いだい,greatness,ความยิ่งใหญ่
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",ถือ (v.t.) (สำนวนที่เป็นลายลักษณ์อักษร) โอบกอด
至る,いたる,"to come, to arrive","มา, มา, มา"
一体,いったい,one object; body; what on earth?; generally,วัตถุหนึ่งชิ้น ร่างกาย; อะไรบนโลกนี้?; โดยทั่วไป
以来,いらい,"since, henceforth",ตั้งแต่ต่อจากนี้ไป
依頼,いらい,request; dependence,ขอ; การพึ่งพา
いらっしゃい,いらっしゃい,welcome,ยินดีต้อนรับ
祝い,いわい,"celebration, festival",การเฉลิมฉลอง เทศกาล
祝う,いわう,"to congratulate, to celebrate",เพื่อแสดงความยินดีเพื่อเฉลิมฉลอง
引退,いんたい,retirement,เกษียณอายุ
うがい,うがい,gargling,กลั้วคอ
受け取る,うけとる,"to receive, to get, to accept","รับ, รับ, ยอมรับ"
動かす,うごかす,"to move, to shift",เพื่อย้ายเพื่อเปลี่ยน
失う,うしなう,"to lose, to part with",แพ้พรากจากกัน
疑う,うたがう,"to doubt, to distrust",สงสัยไม่ไว้วางใจ
討つ,うつ,"to attack, to avenge",เพื่อโจมตีเพื่อล้างแค้น
撃つ,うつ,"to attack, to shoot",เพื่อโจมตีเพื่อยิง
映す,うつす,"to project, to reflect, to cast (shadow)",ฉายภาพสะท้อนฉาย (เงา)
訴える,うったえる,"to complain, to appeal, to sue (a person)","ร้องเรียน, อุทธรณ์, ฟ้องร้อง (บุคคล)"
写る,うつる,"to be photographed, to be projected","ที่จะถ่ายภาพ, ที่จะฉาย"
映る,うつる,"to be reflected, to come out (photo)",ที่จะสะท้อนออกมา (ภาพถ่าย)
うなる,うなる,"to groan, to moan",คราง คราง
奪う,うばう,"to rob, to deprive",ปล้นเพื่อกีดกัน
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)","ฝัง, ถม, ถม (ที่นั่ง, ตำแหน่งว่าง)"
裏切る,うらぎる,"to betray, to turn traitor",ทรยศกลายเป็นคนทรยศ
羨ましい,うらやましい,"envious, enviable","อิจฉา, น่าอิจฉา"
売れる,うれる,to be sold,ที่จะขาย
衛星,えいせい,satellite,ดาวเทียม
描く,えがく,"to draw, to depict, to describe",วาด พรรณนา บรรยาย
得る,える,"to get, to gain, to win, to learn","ที่จะได้รับ, ได้รับ, ชนะ, เรียนรู้"
老い,おい,"old age, the aged","วัยชรา, วัยชรา"
追い付く,おいつく,"to overtake, to catch up (with)",แซงตาม (ด้วย)
追う,おう,"to chase, to run after",เพื่อไล่ล่าวิ่งตาม
応じる,おうじる,"to adapt, to respond, to comply with","เพื่อปรับตัว, ตอบสนอง, เพื่อให้สอดคล้องกับ"
終える,おえる,to finish,เพื่อจบ
覆う,おおう,"to cover, to hide, to conceal",ปกปิด ปกปิด
贈る,おくる,"to present, to give to, to award to","นำเสนอ, มอบให้, มอบรางวัลให้กับ"
起こる,おこる,"to occur, to happen","เกิดขึ้น, จะเกิดขึ้น"
押える,おさえる,"to stop, to restrain, to press down","ให้หยุด, ยับยั้ง, กดลง"
幼い,おさない,"very young, childish",เด็กมาก เด็กน้อย
収める,おさめる,"to store to pay, to supply",เพื่อจัดเก็บเพื่อจ่ายเพื่อจัดหา
納める,おさめる,"to store to pay, to supply",เพื่อจัดเก็บเพื่อจ่ายเพื่อจัดหา
治める,おさめる,"to govern, to manage; to subdue","เพื่อควบคุม, จัดการ; เพื่อปราบ"
恐れる,おそれる,"to fear, to be afraid of",กลัวกลัว
恐ろしい,おそろしい,"terrible, dreadful",น่ากลัว น่ากลัว
教わる,おそわる,to be taught,ที่จะสอน
お互い,おたがい,"mutual, reciprocal, each other",กันและกัน
大人しい,おとなしい,"obedient, docile, quiet",เชื่อฟัง เชื่อฟัง เงียบ
劣る,おとる,"to fall behind, to be inferior to","ล้าหลัง, ด้อยกว่า"
溺れる,おぼれる,"to be drowned, to indulge in",ที่จะจมน้ำเพื่อดื่มด่ำกับ
思い付く,おもいつく,"to think of, to hit upon",คิดจะตี
及ぼす,およぼす,"to exert, to cause, to exercise","ออกแรง, ก่อให้เกิด, ออกกำลังกาย"
下す,おろす,"to lower, to let go down",ลดให้ลง
降ろす,おろす,"to take down, to launch, to drop","ที่จะลง, เพื่อเปิดตัว, เพื่อปล่อย"
卸す,おろす,"to sell wholesale, grated (vegetables)",ขายขายส่งขูด(ผัก)
貝,かい,"shell, shellfish","หอย, หอย"
害,がい,"harm, damage","อันตราย, ความเสียหาย"
海外,かいがい,"foreign, abroad, overseas",ต่างประเทศ ต่างประเทศ ต่างประเทศ
会計,かいけい,"account, finance",บัญชีการเงิน
飼う,かう,to keep; to own (a pet); to raise; to feed,ที่จะเก็บ; เป็นเจ้าของ (สัตว์เลี้ยง); ที่จะยก; ให้อาหาร
帰す,かえす,to send back,เพื่อส่งกลับ
代える,かえる,"to exchange, to interchange, to substitute","แลกเปลี่ยน, แลกเปลี่ยน, ทดแทน"
替える,かえる,"to exchange, to interchange, to substitute","แลกเปลี่ยน, แลกเปลี่ยน, ทดแทน"
換える,かえる,"to exchange, to interchange, to substitute","แลกเปลี่ยน, แลกเปลี่ยน, ทดแทน"
反る,かえる,"to warp, to be warped, to curve","บิดเบี้ยว, บิดเบี้ยว, โค้งงอ"
抱える,かかえる,to hold or carry under or in the arms,ถือหรือถือไว้ใต้หรือในอ้อมแขน
輝く,かがやく,"to shine, to glitter, to sparkle",เปล่งประกาย แวววาว เปล่งประกาย
罹る,かかる,to suffer from,ต้องทนทุกข์ทรมานจาก
限る,かぎる,"to restrict, to limit, to confine","จำกัด, จำกัด, จำกัด"
掻く,かく,to scratch,เพื่อเกา
嗅ぐ,かぐ,"to sniff, to smell",ดมกลิ่น
隠す,かくす,"to hide, to conceal",เพื่อซ่อนเพื่อปกปิด
拡大,かくだい,"magnification, enlargement","กำลังขยาย, การขยาย"
隠れる,かくれる,"to hide, to be hidden","ที่จะซ่อน, จะถูกซ่อน"
欠ける,かける,to be lacking,ขาด
囲む,かこむ,"to surround, to encircle","ล้อม, ล้อมรอบ"
火災,かさい,"conflagration, fire",เพลิงไหม้
重なる,かさなる,"to be piled up, lie on top of one another",กองซ้อนกันนอนทับกัน
重ねる,かさねる,"to pile up, to put something on another, to heap up","กองพะเนิน, กองทับอีกกอง"
賢い,かしこい,"wise, clever, smart","ฉลาด, ฉลาด, ฉลาด"
稼ぐ,かせぐ,"to earn income, to labor",เพื่อหารายได้เพื่อแรงงาน
数える,かぞえる,to count,ที่จะนับ
堅い,かたい,"hard, firm, solid",แข็ง แน่น แข็ง
硬い,かたい,"hard, firm, solid",แข็ง แน่น แข็ง
片付く,かたづく,"to put in order, to solve",เพื่อเรียงลำดับเพื่อแก้
語る,かたる,"to talk, to tell, to recite","พูดคุย, เล่า, ท่อง"
仮定,かてい,"assumption, supposition, hypothesis",การสันนิษฐาน การคาดเดา สมมติฐาน
過程,かてい,process,กระบวนการ
課程,かてい,"course, curriculum",หลักสูตรหลักสูตร
悲しむ,かなしむ,"to be sad, to mourn for, to regret",เสียใจ เสียใจ เสียใจ
被る,かぶる,to wear; to be covered with,สวมใส่; ที่จะครอบคลุมด้วย
かもしれない,かもしれない,"maybe, perhaps",บางที บางที
かゆい,かゆい,"itchy, itching","คัน, คัน"
刈る,かる,"to cut (hair), to mow (grass), to harvest",ตัด(ผม) ตัดหญ้า(หญ้า) เก็บเกี่ยว
可愛らしい,かわいらしい,"lovely, sweet",น่ารัก หวาน
乾かす,かわかす,to dry,ตากให้แห้ง
渇く,かわく,to be thirsty,หิวน้ำ
代る,かわる,"to take the place of, to relieve, to be substituted for","เข้ามาแทนที่, บรรเทา, ทดแทน"
歓迎,かんげい,"welcome, reception",ยินดีต้อนรับ พนักงานต้อนรับ
感じる,かんじる,"to feel, to sense",รู้สึกสัมผัส
関する,かんする,"to concern, to be related","กังวล, เกี่ยวข้อง"
完成,かんせい,"complete, completion; perfection","สมบูรณ์, เสร็จสิ้น; ความสมบูรณ์แบบ"
機械,きかい,"machine, machinery","เครื่องจักร, เครื่องจักร"
器械,きかい,instrument,อุปกรณ์
議会,ぎかい,"Diet, congress, parliament",ไดเอท รัฐสภา รัฐสภา
効く,きく,to be effective,ให้มีประสิทธิภาพ
期待,きたい,"expectation, anticipation, hope",ความคาดหวัง ความคาดหวัง ความหวัง
気体,きたい,"vapor, gas","ไอ, แก๊ส"
きつい,きつい,"tight, close, intense",แน่นปิดเข้มข้น
気付く,きづく,"to notice, to recognize, to become aware of","สังเกต, รับรู้, ตระหนักถึง"
気に入る,きにいる,"to like, to be please",ที่จะชอบที่จะได้โปรด
休憩,きゅうけい,"rest, break, intermission",พักผ่อน หยุดพัก หยุดพัก
巨大,きょだい,"huge, gigantic, enormous",ใหญ่โตมโหฬาร
嫌う,きらう,"to hate, to dislike, to loathe","เกลียด, ไม่ชอบ, เกลียด"
切れる,きれる,"to cut well, to be sharp; to break (off)",ตัดได้ดีมีความคม ที่จะทำลาย (ปิด)
近代,きんだい,modern times,สมัยใหม่
臭い,くさい,"stinky, smelly, bad-smelling",เหม็น เหม็น เหม็น
腐る,くさる,"to rot, to go bad",เน่าไปเสีย
具体,ぐたい,"concrete, tangible, material",คอนกรีต จับต้องได้ วัสดุ
組合,くみあい,"association, union",สมาคมสหภาพแรงงาน
組む,くむ,to put together,เพื่อรวบรวม
汲む,くむ,"to draw, to scoop, to pump",วาด ตัก ปั้ม
酌む,くむ,to serve sake,เสิร์ฟสาเก
悔しい,くやしい,"regrettable, mortifying, vexing","น่าเสียใจ, น่าเสียใจ, น่ารำคาญ"
位,くらい,"grade, rank, about",เกรด อันดับ เกี่ยวกับ
暮らす,くらす,"to live, to get along",ที่จะอยู่ร่วมกัน
繰り返す,くりかえす,"to repeat, to do something over again",ทำซ้ำเพื่อทำบางสิ่งบางอย่างอีกครั้ง
狂う,くるう,"to go mad, to get out of order","โกรธเคือง, ผิดปกติ"
苦しい,くるしい,tough; physically strenuous,ยาก; เหนื่อยล้าทางร่างกาย
苦しむ,くるしむ,"to suffer, to groan, to be worried",ทนทุกข์ คร่ำครวญ กังวล
加える,くわえる,"to append, to sum up, to add (up)","ผนวก, สรุป, บวก (ขึ้น)"
咥える,くわえる,to hold something in the mouth,เพื่อเอาอะไรเข้าปาก
詳しい,くわしい,detailed; full; accurate,รายละเอียด; เต็ม; แม่นยำ
加わる,くわわる,"to join in, to accede to",เข้าร่วมเพื่อเข้าร่วม
軍隊,ぐんたい,"army, troops","กองทัพ, กองทัพ"
計,けい,"plan; sum, total",วางแผน; ผลรวมทั้งหมด
敬意,けいい,"respect, honor",เคารพให้เกียรติ
経営,けいえい,"management, administration",การจัดการการบริหารงาน
決定,けってい,"decision, determination",การตัดสินใจการตัดสินใจ
蹴る,ける,to kick,ที่จะเตะ
見解,けんかい,"opinion, point of view",ความคิดเห็น มุมมอง
限界,げんかい,"limit, bound",ขีด จำกัด ขอบเขต
現在,げんざい,"now (same as 今 (いま)), present, current","ตอนนี้ (เหมือนกับ 今 (いま)), ปัจจุบัน, ปัจจุบัน"
現代,げんだい,"today, present-day",วันนี้ วันปัจจุบัน
恋,こい,"love, tender passion",ความรัก ความหลงใหลอันอ่อนโยน
濃い,こい,"thick (as of color, liquid), dense, strong","หนา (ตามสี, ของเหลว), หนาแน่น, แข็งแรง"
光景,こうけい,"scene, spectacle",ฉากปรากฏการณ์
合計,ごうけい,"sum total, total amount","ผลรวม, จำนวนเงินทั้งหมด"
交際,こうさい,"friendship, association, acquaintance",มิตรภาพ การสมาคม ความคุ้นเคย
公正,こうせい,"justice, fairness, impartiality",ความยุติธรรม ความเป็นธรรม ความเป็นกลาง
構成,こうせい,"organization, composition",องค์กร องค์ประกอบ
後輩,こうはい,junior members of a group,สมาชิกรุ่นน้องของกลุ่ม
公平,こうへい,"fairness, impartial, justice",ความเป็นธรรม เป็นกลาง ยุติธรรม
越える,こえる,"to exceed, to cross over, to cross","เกิน, ข้าม, ข้าม"
超える,こえる,"to exceed, to cross over, to cross","เกิน, ข้าม, ข้าม"
凍る,こおる,"to freeze, to be frozen over, to congeal","ทำให้แข็งตัว, ทำให้แข็งตัว, ทำให้แข็งตัว"
誤解,ごかい,misunderstanding,เข้าใจผิด
越す,こす,"to go over (e.g., with audience)",ข้ามไป (เช่น กับผู้ชม)
超す,こす,"to cross, to pass, to tide over","ข้าม, ผ่านไป, กระแสน้ำ"
国会,こっかい,"National Diet, parliament, congress",สภาไดเอทแห่งชาติ รัฐสภา รัฐสภา
異なる,ことなる,"to differ, to vary",แตกต่าง แตกต่าง
断る,ことわる,"to refuse, to decline, to dismiss","ปฏิเสธ, ปฏิเสธ, ไล่ออก"
好む,このむ,"to like, to prefer","ชอบ, ชอบ"
こぼす,こぼす,to spill,ที่จะหก
こぼれる,こぼれる,"to overflow, to spill","ล้น, หก"
ごめんなさい,ごめんなさい,"I beg your pardon, excuse me, I'm sorry",ฉันขอโทษ ฉันขอโทษ ฉันขอโทษ
殺す,ころす,to kill,ที่จะฆ่า
転ぶ,ころぶ,"to fall down, to fall over","ล้มลง, ล้มลง"
今回,こんかい,"now, this time, lately","ตอนนี้, คราวนี้, เมื่อเร็วๆ นี้"
際,さい,"on the occasion of, circumstances",เนื่องในโอกาส สถานการณ์
最低,さいてい,"least, lowest, worst","น้อยที่สุด, ต่ำสุด, แย่ที่สุด"
幸い,さいわい,fortunately; luckily,โชคดี; โชคดี
境,さかい,"border, boundary, mental state",ชายแดน ขอบเขต สภาพจิตใจ
逆らう,さからう,"to go against, to oppose, to disobey","ต่อต้าน, ต่อต้าน, ไม่เชื่อฟัง"
裂く,さく,"to tear, to split",ฉีกแยก
叫ぶ,さけぶ,"to shout, to cry",ร้องไห้ ร้องไห้
避ける,さける,"to avoid (physical contact); to ward off, to avert",เพื่อหลีกเลี่ยง (การสัมผัสทางกายภาพ); เพื่อปัดเป่าเพื่อหลีกเลี่ยง
刺さる,ささる,"to stick, to be stuck",ติดจะติด
刺す,さす,"to sting, to bite (e.g., bug), to prick, to stab","ต่อย, กัด (เช่น แมลง), แทง, แทง"
指す,さす,"to point,",ชี้
挿す,さす,"to insert, to put in, to graft","แทรก, แทรก, กราฟต์"
注す,さす,"to pour (drink), to serve (drinks)",เท (ดื่ม) เสิร์ฟ (เครื่องดื่ม)
射す,さす,"to shine, to strike",ส่องแสงเพื่อโจมตี
誘う,さそう,"to invite (someone to do something with you); to tempt, to lure",เชิญ (ใครสักคนให้ทำอะไรกับคุณ); ล่อลวงล่อ
守る,まもる,to protect; to abide (by the rules),เพื่อปกป้อง; ที่จะปฏิบัติตาม (ตามกฎ)
迷う,まよう,"to be puzzled, to be perplexed, to lose one's way",งง งง หลงทาง
満ちる,みちる,"to be full, to mature",อิ่ม โตเต็มที่
認める,みとめる,"to recognize, to notice; to approve","รับรู้, สังเกต; เพื่ออนุมัติ"
見舞い,みまい,"expression of sympathy, expression of concern",การแสดงความเห็นอกเห็นใจ การแสดงความกังวล
未来,みらい,future (life tense),อนาคต (ชีวิตตึงเครียด)
診る,みる,to examine (a patient),เพื่อตรวจ (ผู้ป่วย)
向かい,むかい,"facing, opposite, across","หันหน้า, ตรงข้าม, ข้าม"
向く,むく,to face,เผชิญหน้า
剥く,むく,"to peel, to skin",ลอกผิว
向ける,むける,"to turn towards, to point",หันไปทางชี้
蒸し暑い,むしあつい,"humid, sultry",ชื้น ร้อน
蒸す,むす,"to steam, to poultice, to be sultry",อบไอน้ำ พอกตัว ให้ร้อน
結ぶ,むすぶ,"to tie, to bind, to link","ผูก, ผูก, เชื่อมโยง"
命じる,めいじる,"to order, to command, to appoint","สั่ง, สั่ง, แต่งตั้ง"
命令,めいれい,"order, command, decree","คำสั่ง, คำสั่ง, กฤษฎีกา"
申し込む,もうしこむ,"to apply for, to make an application","เพื่อสมัคร, เพื่อสมัคร"
燃える,もえる,to burn,ที่จะเผาไหม้
持ち上げる,もちあげる,"to raise, to lift up, to flatter","ยก, ยก, ยกยอ"
用いる,もちいる,"to use, to make use of",เพื่อใช้
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",สิ้นเปลือง; มากกว่าหนึ่งสมควรได้รับ ไม่คู่ควรกับ
戻す,もどす,"to restore, to put back, to return","เรียกคืน, ใส่กลับ, คืน"
基づく,もとづく,"to be grounded on, to be based on","ที่จะต่อสายดิน, จะขึ้นอยู่กับ"
求める,もとめる,"to request, to ask for; to seek, to search for","ขอ, ขอ; เพื่อค้นหาเพื่อค้นหา"
燃やす,もやす,to burn,ที่จะเผาไหม้
訳す,やくす,to translate,แปล
厄介,やっかい,"trouble, burden, care",ปัญหา ภาระ ความห่วงใย
雇う,やとう,"to employ, to hire","จ้าง, จ้าง"
破る,やぶる,to tear; to violate; to defeat,ที่จะฉีกขาด; ละเมิด; เพื่อเอาชนะ
破れる,やぶれる,"to get torn, to wear out",ฉีกขาดทำให้ทรุดโทรม
辞める,やめる,to retire,ที่จะเกษียณอายุ
愉快,ゆかい,"pleasant, happy",น่าอยู่ มีความสุข
譲る,ゆずる,"to turn over, to assign, to hand over","พลิกกลับ, มอบหมาย, ส่งมอบ"
茹でる,ゆでる,to boil,ต้ม
許す,ゆるす,"to permit, to allow, to approve","อนุญาต, อนุญาต, อนุมัติ"
酔う,よう,to get drunk,ที่จะเมา
容易,ようい,"easy, simple, plain",ง่าย ง่าย ธรรมดา
横切る,よこぎる,"to cross (e.g., arms), to traverse",ข้าม (เช่น แขน) เพื่อสำรวจ
汚す,よごす,"to pollute, to make dirty",ทำให้สกปรก
止す,よす,"to cease, to give up",ยุติยอมแพ้
寄せる,よせる,"to collect, to gather, to put aside","รวบรวม, รวบรวม, กันไว้"
因る,よる,to come from,มาจาก
理解,りかい,"understanding, comprehension",ความเข้าใจ ความเข้าใจ
例,れい,"instance, example, case",อินสแตนซ์ ตัวอย่าง กรณี
礼,れい,expression of gratitude; bow,การแสดงความรู้สึกขอบคุณ โค้งคำนับ
例外,れいがい,exception,ข้อยกเว้น
冷静,れいせい,"calm, coolness",สงบเย็น
論じる,ろんじる,"to argue, to discuss",โต้เถียงเพื่อหารือ
分かれる,わかれる,"to branch off, to diverge from",แตกแขนงออกไปเพื่อแยกจาก
湧く,わく,"to boil, to grow hot",ต้มให้ร้อน
分ける,わける,"to divide, to separate",แบ่งแยก
話題,わだい,"topic, subject","หัวข้อ, หัวเรื่อง"
笑い,わらい,"laugh, laughter, smile",หัวเราะ หัวเราะ ยิ้ม
割る,わる,"to divide, to break","แบ่ง, หัก"
宛てる,あてる,"to address, to put",ไปยังที่อยู่เพื่อใส่
傷める,いためる,"to damage, to impair, to spoil","ทำให้เสียหาย, ทำให้เสียหาย, ทำให้เสีย"
炒める,いためる,to stir-fry,ผัด
一帯,いったい,"a region, the whole place",ภูมิภาค สถานที่ทั้งหมด
埋まる,うまる,"to be buried, to be filled","จะถูกฝัง, จะถูกเติมเต็ม"
産む,うむ,"to give birth (v.t.), to deliver, to produce","ให้กำเนิด (v.t.) ให้กำเนิด, ให้กำเนิด"
負う,おう,"to bear, to owe",ที่จะแบกรับเป็นหนี้
織る,おる,to weave,การทอ
欠く,かく,"to lack, to crack","ขาด, แตก"
駆ける,かける,to run,เพื่อทำงาน
賭ける,かける,"to bet, to risk, to gamble","เดิมพัน, เสี่ยง, พนัน"
課題,かだい,"subject, theme, task","หัวเรื่อง, ธีม, งาน"
歓声,かんせい,"cheer, shout of joy",เชียร์ ตะโกนด้วยความดีใจ
築く,きずく,"to build, to establish","เพื่อสร้าง, ก่อตั้ง"
規制,きせい,regulation,กฎระเบียบ
刑,けい,"penalty, sentence, punishment","โทษ, ประโยค, การลงโทษ"
経緯,けいい,"sequence of events, course",ลำดับเหตุการณ์แน่นอน
